r_center,r_halfwidth,k_sq,i,j,a_lo,b_lo,primes,dsu_groups,port_groups,ports_I,ports_O,ports_L,ports_R,sum_n,max_label,overflow_128,overflow_256
60000000,4096,36,110662,206595,28329472,52888320,2589,94,42,15,18,13,19,65,42,0,0
60000000,4096,36,92610,215294,23708160,55115264,2561,120,53,22,26,20,21,89,53,0,0
60000000,4096,36,72804,222792,18637824,57034752,2538,110,51,18,23,17,21,79,51,0,0
60000000,4096,36,79244,220579,20286464,56468224,2605,92,44,15,20,22,15,72,44,0,0
60000000,4096,36,42241,230524,10813696,59014144,2607,99,45,18,20,20,18,76,45,0,0
60000000,4096,36,81407,219791,20840192,56266496,2590,93,36,16,15,13,17,61,36,0,0
60000000,4096,36,73324,222609,18770944,56987904,2540,133,54,23,21,22,15,81,54,0,0
60000000,4096,36,85949,218035,22002944,55816960,2576,94,44,17,18,23,16,74,44,0,0
60000000,4096,36,148307,181473,37966592,46457088,2547,106,49,20,20,13,19,72,49,0,0
60000000,4096,36,10722,234142,2744832,59940352,2589,82,38,17,15,20,15,67,38,0,0
60000000,4096,36,161530,169824,41351680,43474944,2520,109,49,21,16,21,19,77,49,0,0
60000000,4096,36,115740,203819,29629440,52177664,2561,118,52,23,18,27,17,85,52,0,0
60000000,4096,36,111255,206274,28481280,52806144,2577,114,43,19,21,19,21,80,43,0,0
60000000,4096,36,157936,173167,40431616,44330752,2639,100,40,14,15,23,15,67,40,0,0
60000000,4096,36,109582,207196,28052992,53042176,2583,101,39,18,16,20,14,68,39,0,0
60000000,4096,36,33788,231915,8649728,59370240,2543,114,48,20,20,21,21,82,48,0,0
60000000,4096,36,132849,193084,34009344,49429504,2504,118,40,23,17,19,16,75,40,0,0
60000000,4096,36,16720,233769,4280320,59844864,2548,100,42,15,13,19,22,69,42,0,0
60000000,4096,36,46593,229702,11927808,58803712,2539,124,53,18,19,21,19,77,53,0,0
60000000,4096,36,162039,169323,41481984,43346688,2572,102,44,18,15,23,15,71,44,0,0
60000000,4096,36,60464,226457,15478784,57972992,2598,83,32,13,11,16,17,57,32,0,0
60000000,4096,36,14334,233928,3669504,59885568,2545,112,41,17,18,14,20,69,41,0,0
60000000,4096,40,49488,229082,12668928,58644992,2528,52,20,11,15,17,20,63,20,0,0
60000000,4096,40,68401,224176,17510656,57389056,2575,45,22,17,12,16,18,63,22,0,0
60000000,4096,40,39024,231092,9990144,59159552,2636,60,32,15,17,19,17,68,32,0,0
60000000,4096,40,117900,202558,30182400,51854848,2607,44,23,11,14,16,20,61,23,0,0
60000000,4096,40,41959,230576,10741504,59027456,2575,50,28,16,21,18,13,68,28,0,0
60000000,4096,40,87280,217517,22343680,55684352,2586,50,24,11,15,13,17,56,24,0,0
60000000,4096,40,57858,227129,14811648,58145024,2588,36,16,13,7,10,13,43,16,0,0
60000000,4096,40,68034,224297,17416704,57420032,2637,30,17,11,14,15,15,55,17,0,0
60000000,4096,40,130015,195007,33283840,49921792,2495,59,29,14,20,16,12,62,29,0,0
60000000,4096,40,90603,216139,23194368,55331584,2557,44,17,8,9,13,10,40,17,0,0
